Lokal;ID;Behandling;FDA;Antal;Struktur;Kommentar;ID
Helsingborg_kontroll;2_1.10;Kontroll;levande;105;pith;;2
Helsingborg_kontroll;2_2.1;Kontroll;död;0;vascular tissue;;2
Helsingborg_kontroll;2_2.2;Kontroll;levande;27;cortex;;2
Helsingborg_kontroll;2_2.3;Kontroll;levande;51;cortex;;2
Helsingborg_kontroll;2_2.4;Kontroll;levande;20;pith;;2
Helsingborg_kontroll;2_2.5;Kontroll;död;0;vascular tissue;;2
Helsingborg_kontroll;2_2.6;Kontroll;levande;14;cortex;;2
Helsingborg_kontroll;2_2.7;Kontroll;levande;21;cortex;;2
Helsingborg_kontroll;2_2.8;Kontroll;levande;34;pith;;2
Helsingborg_kontroll;2_2.9;Kontroll;levande;88;cortex;;2
Helsingborg_kontroll;2_2.10;Kontroll;levande;42;cortex;;2
Helsingborg_kontroll;2_3.1;Kontroll;levande;50;cortex;;2
Helsingborg_kontroll;2_3.2;Kontroll;levande;120;cortex;;2
Helsingborg_kontroll;2_3.3;Kontroll;levande;71;cortex;Grönt sken ;2
Helsingborg_kontroll;2_3.4;Kontroll;levande;80;cortex;Grönt sken ;2
Helsingborg_kontroll;2_3.5;Kontroll;levande;109;cortex;Grönt sken ;2
Helsingborg_kontroll;2_3.6;Kontroll;levande;139;pith;;2
Helsingborg_kontroll;2_3.7;Kontroll;levande;163;pith;;2
Helsingborg_kontroll;2_3.8;Kontroll;levande;160;pith;;2
Helsingborg_kontroll;2_3.9;Kontroll;levande;96;pith;;2
Helsingborg_kontroll;2_3.10;Kontroll;levande;34;cortex;;2
Helsingborg_kontroll;2_4.1;Kontroll;levande;128;pith;;2
Helsingborg_kontroll;2_4.2;Kontroll;levande;116;pith;;2
Helsingborg_kontroll;2_4.3;Kontroll;levande;90;pith;;2
Helsingborg_kontroll;2_4.4;Kontroll;levande;83;pith;;2
Helsingborg_kontroll;2_4.5;Kontroll;levande;52;cortex;Grönt sken, maskar? ;2
Helsingborg_kontroll;2_4.6;Kontroll;levande;70;cortex;;2
Helsingborg_kontroll;2_4.7;Kontroll;levande;36;cortex;;2
Helsingborg_kontroll;2_4.8;Kontroll;levande;19;cortex;;2
Helsingborg_kontroll;2_4.9;Kontroll;levande;62;cortex;;2
Helsingborg_kontroll;2_4.10;Kontroll;levande;46;cortex;;2
Helsingborg_kontroll;2_5.1;Kontroll;levande;150;cortex;låg exposure, grönt sken;2
Helsingborg_kontroll;2_5.2;Kontroll;levande;140;cortex;låg exposure, grönt sken;2
Helsingborg_kontroll;2_5.3;Kontroll;levande;55;cortex;låg exposure, grönt sken;2
Helsingborg_kontroll;2_5.4;Kontroll;levande;70;cortex;låg exposure, grönt sken;2
Helsingborg_kontroll;2_5.5;Kontroll;levande;101;cortex;låg exposure, grönt sken;2
Helsingborg_kontroll;2_5.6;Kontroll;levande;159;pith;låg exposure;2
Helsingborg_kontroll;2_5.7;Kontroll;levande;163;pith;låg exposure;2
Helsingborg_kontroll;2_5.8;Kontroll;levande;177;pith;låg exposure;2
Helsingborg_kontroll;2_5.9;Kontroll;levande;165;pith;låg exposure;2
Helsingborg_kontroll;2_5.10;Kontroll;död;0;vascular tissue;Grönt sken ;2
Helsingborg_kontroll;3_1.1;Kontroll;levande;59;cortex;Grönt sken ;3
Helsingborg_kontroll;3_1.2;Kontroll;levande;40;cortex;;3
Helsingborg_kontroll;3_1.3;Kontroll;levande;188;pith;;3
Helsingborg_kontroll;3_1.4;Kontroll;levande;78;pith;;3
Helsingborg_kontroll;3_1.5;Kontroll;levande;67;pith;;3
Helsingborg_kontroll;3_1.6;Kontroll;levande;88;pith;;3
Helsingborg_kontroll;3_1.7;Kontroll;levande;49;cortex;;3
Helsingborg_kontroll;3_1.8;Kontroll;levande;25;cortex;;3
Helsingborg_kontroll;3_1.9;Kontroll;levande;19;cortex;;3
Helsingborg_kontroll;3_1.10;Kontroll;levande;94;cortex;Grönt sken ;3
Helsingborg_kontroll;3_2.1;Kontroll;levande;64;cortex;Grönt sken;3
Helsingborg_kontroll;3_2.2;Kontroll;levande;39;cortex;;3
Helsingborg_kontroll;3_2.3;Kontroll;levande;35;cortex;;3
Helsingborg_kontroll;3_2.4;Kontroll;levande;191;pith;;3
Helsingborg_kontroll;3_2.5;Kontroll;levande;190;pith;;3
Helsingborg_kontroll;3_2.6;Kontroll;levande;179;pith;;3
Helsingborg_kontroll;3_2.7;Kontroll;levande;74;cortex;;3
Helsingborg_kontroll;3_2.8;Kontroll;levande;87;cortex;;3
Helsingborg_kontroll;3_2.9;Kontroll;levande;131;cortex;;3
Helsingborg_kontroll;3_2.10;Kontroll;levande;69;cortex;;3
Helsingborg_kontroll;3_3.1;Kontroll;levande;74;cortex;låg exposure;3
Helsingborg_kontroll;3_3.2;Kontroll;levande;64;cortex;låg exposure;3
Helsingborg_kontroll;3_3.3;Kontroll;levande;22;cortex;låg exposure;3
Helsingborg_kontroll;3_3.4;Kontroll;levande;10;cortex;låg exposure;3
Helsingborg_kontroll;3_3.5;Kontroll;levande;36;cortex;låg exposure;3
Helsingborg_kontroll;3_3.6;Kontroll;levande;53;cortex;låg exposure;3
Helsingborg_kontroll;3_3.7;Kontroll;levande;44;cortex;låg exposure;3
Helsingborg_kontroll;3_3.8;Kontroll;levande;91;pith;låg exposure;3
Helsingborg_kontroll;3_3.9;Kontroll;levande;137;pith;låg exposure;3
Helsingborg_kontroll;3_3.10;Kontroll;levande;141;pith;låg exposure;3
Helsingborg_kontroll;3_4.1;Kontroll;levande;72;cortex;låg exposure;3
Helsingborg_kontroll;3_4.2;Kontroll;levande;36;cortex;låg exposure;3
Helsingborg_kontroll;3_4.3;Kontroll;levande;14;cortex;låg exposure;3
Helsingborg_kontroll;3_4.4;Kontroll;levande;53;cortex;låg exposure;3
Helsingborg_kontroll;3_4.5;Kontroll;levande;138;pith;låg exposure;3
Helsingborg_kontroll;3_4.6;Kontroll;levande;250;pith;låg exposure;3
Helsingborg_kontroll;3_4.7;Kontroll;levande;139;pith;låg exposure;3
Helsingborg_kontroll;3_4.8;Kontroll;levande;113;pith;låg exposure;3
Helsingborg_kontroll;3_4.9;Kontroll;levande;63;pith;låg exposure;3
Helsingborg_kontroll;3_4.10;Kontroll;levande;68;pith;låg exposure;3
Helsingborg_kontroll;3_5.1;Kontroll;levande;48;cortex;låg exposure;3
Helsingborg_kontroll;3_5.2;Kontroll;levande;60;cortex;låg exposure;3
Helsingborg_kontroll;3_5.3;Kontroll;levande;55;cortex;låg exposure;3
Helsingborg_kontroll;3_5.4;Kontroll;levande;43;cortex;låg exposure;3
Helsingborg_kontroll;3_5.5;Kontroll;levande;124;pith;låg exposure;3
Helsingborg_kontroll;3_5.6;Kontroll;levande;102;pith;låg exposure;3
Helsingborg_kontroll;3_5.7;Kontroll;levande;102;pith;låg exposure;3
Helsingborg_kontroll;3_5.8;Kontroll;levande;100;pith;låg exposure;3
Helsingborg_kontroll;3_5.9;Kontroll;levande;76;pith;låg exposure;3
Helsingborg_kontroll;3_5.10;Kontroll;levande;24;cortex;låg exposure;3
Helsingborg_kontroll;4_1.1;Kontroll;levande;155;pith;;4
Helsingborg_kontroll;4_1.2;Kontroll;levande;65;pith;;4
Helsingborg_kontroll;4_1.3;Kontroll;levande;86;pith;;4
Helsingborg_kontroll;4_1.4;Kontroll;levande;106;pith;;4
Helsingborg_kontroll;4_1.5;Kontroll;levande;96;pith;;4
Helsingborg_kontroll;4_1.6;Kontroll;död;0;vascular tissue;;4
Helsingborg_kontroll;4_1.7;Kontroll;levande;4;cortex;;4
Helsingborg_kontroll;4_1.8;Kontroll;levande;44;cortex;;4
Helsingborg_kontroll;4_1.9;Kontroll;levande;118;cortex;;4
Helsingborg_kontroll;4_1.10;Kontroll;levande;104;cortex;;4
Helsingborg_kontroll;4_2.1;Kontroll;levande;44;cortex;;4
Helsingborg_kontroll;4_2.2;Kontroll;levande;72;cortex;;4
Helsingborg_kontroll;4_2.3;Kontroll;levande;118;cortex;;4
Helsingborg_kontroll;4_2.4;Kontroll;levande;50;cortex;;4
Helsingborg_kontroll;4_2.5;Kontroll;levande;39;cortex;;4
Helsingborg_kontroll;4_2.6;Kontroll;levande;23;cortex;;4
Helsingborg_kontroll;4_2.7;Kontroll;levande;12;cortex;;4
Helsingborg_kontroll;4_2.8;Kontroll;död;0;vascular tissue;;4
Helsingborg_kontroll;4_2.9;Kontroll;levande;3;cortex;;4
Helsingborg_kontroll;4_2.10;Kontroll;död;0;vascular tissue;;4
Helsingborg_kontroll;4_3.1;Kontroll;levande;155;cortex;låg exposure;4
Helsingborg_kontroll;4_3.2;Kontroll;levande;94;cortex;låg exposure;4
Helsingborg_kontroll;4_3.3;Kontroll;levande;83;cortex;låg exposure;4
Helsingborg_kontroll;4_3.4;Kontroll;levande;68;cortex;låg exposure;4
Helsingborg_kontroll;4_3.5;Kontroll;levande;106;cortex;låg exposure;4
Helsingborg_kontroll;4_3.6;Kontroll;levande;132;cortex;låg exposure;4
Helsingborg_kontroll;4_3.7;Kontroll;levande;218;pith;låg exposure;4
Helsingborg_kontroll;4_3.8;Kontroll;levande;231;pith;låg exposure;4
Helsingborg_kontroll;4_3.9;Kontroll;levande;140;cortex;låg exposure;4
Helsingborg_kontroll;4_3.10;Kontroll;levande;235;cortex;låg exposure;4
Helsingborg_kontroll;4_4.1;Kontroll;levande;305;cortex;låg exposure;4
Helsingborg_kontroll;4_4.2;Kontroll;levande;298;cortex;låg exposure;4
Helsingborg_kontroll;4_4.3;Kontroll;levande;214;cortex;låg exposure;4
Helsingborg_kontroll;4_4.4;Kontroll;levande;194;cortex;låg exposure;4
Helsingborg_kontroll;4_4.5;Kontroll;levande;193;cortex;låg exposure;4
Helsingborg_kontroll;4_4.6;Kontroll;levande;225;cortex;låg exposure;4
Helsingborg_kontroll;4_4.7;Kontroll;levande;212;cortex;låg exposure;4
Helsingborg_kontroll;4_4.8;Kontroll;levande;233;cortex;låg exposure;4
Helsingborg_kontroll;4_4.9;Kontroll;levande;159;pith;låg exposure;4
Helsingborg_kontroll;4_4.10;Kontroll;levande;117;pith;låg exposure;4
Helsingborg_kontroll;4_5.1;Kontroll;levande;144;cortex;låg exposure;4
Helsingborg_kontroll;4_5.2;Kontroll;levande;234;cortex;låg exposure;4
Helsingborg_kontroll;4_5.3;Kontroll;levande;156;cortex;låg exposure;4
Helsingborg_kontroll;4_5.4;Kontroll;levande;147;cortex;låg exposure;4
Helsingborg_kontroll;4_5.5;Kontroll;levande;238;cortex;låg exposure;4
Helsingborg_kontroll;4_5.6;Kontroll;levande;268;cortex;låg exposure;4
Helsingborg_kontroll;4_5.7;Kontroll;levande;166;cortex;låg exposure;4
Helsingborg_kontroll;4_5.8;Kontroll;levande;97;pith;låg exposure;4
Helsingborg_kontroll;4_5.9;Kontroll;levande;77;pith;låg exposure;4
Helsingborg_kontroll;4_5.10;Kontroll;levande;0;vascular tissue;låg exposure;4
Helsingborg_kontroll;5_1.1;Kontroll;levande;0;vascular tissue;;5
Helsingborg_kontroll;5_1.2;Kontroll;levande;0;vascular tissue;;5
Helsingborg_kontroll;5_1.3;Kontroll;levande;0;vascular tissue;;5
Helsingborg_kontroll;5_1.4;Kontroll;levande;0;vascular tissue;;5
Helsingborg_kontroll;5_1.5;Kontroll;levande;0;vascular tissue;;5
Helsingborg_kontroll;5_1.6;Kontroll;levande;0;vascular tissue;;5
Helsingborg_kontroll;5_1.7;Kontroll;levande;0;vascular tissue;;5
Helsingborg_kontroll;5_1.8;Kontroll;levande;0;vascular tissue;;5
Helsingborg_kontroll;5_1.9;Kontroll;levande;27;cortex;;5
Helsingborg_kontroll;5_1.10;Kontroll;levande;63;cortex;;5
Helsingborg_kontroll;5_1.11;Kontroll;levande;83;cortex;;5
Helsingborg_kontroll;5_2.1;Kontroll;levande;301;cortex;;5
Helsingborg_kontroll;5_2.2;Kontroll;levande;274;cortex;;5
Helsingborg_kontroll;5_2.3;Kontroll;levande;119;cortex;;5
Helsingborg_kontroll;5_2.4;Kontroll;levande;150;cortex;;5
Helsingborg_kontroll;5_2.5;Kontroll;levande;205;cortex;;5
Helsingborg_kontroll;5_2.6;Kontroll;levande;161;cortex;;5
Helsingborg_kontroll;5_2.7;Kontroll;levande;99;cortex;;5
Helsingborg_kontroll;5_2.8;Kontroll;levande;70;cortex;;5
Helsingborg_kontroll;5_2.9;Kontroll;levande;93;cortex;;5
Helsingborg_kontroll;5_2.10;Kontroll;levande;68;pith;;5
Helsingborg_kontroll;5_3.1;Kontroll;levande;237;cortex;låg exposure;5
Helsingborg_kontroll;5_3.2;Kontroll;levande;147;cortex;låg exposure;5
Helsingborg_kontroll;5_3.3;Kontroll;levande;112;cortex;låg exposure;5
Helsingborg_kontroll;5_3.4;Kontroll;levande;22;cortex;låg exposure;5
Helsingborg_kontroll;5_3.5;Kontroll;levande;78;cortex;låg exposure;5
Helsingborg_kontroll;5_3.6;Kontroll;levande;142;cortex;låg exposure;5
Helsingborg_kontroll;5_3.7;Kontroll;levande;129;cortex;låg exposure;5
Helsingborg_kontroll;5_3.8;Kontroll;levande;233;cortex;låg exposure;5
Helsingborg_kontroll;5_3.9;Kontroll;levande;225;cortex;låg exposure;5
Helsingborg_kontroll;5_3.10;Kontroll;levande;82;pith;låg exposure;5
Helsingborg_kontroll;5_4.1;Kontroll;levande;213;cortex;;5
Helsingborg_kontroll;5_4.2;Kontroll;levande;141;cortex;;5
Helsingborg_kontroll;5_4.3;Kontroll;levande;119;cortex;;5
Helsingborg_kontroll;5_4.4;Kontroll;levande;78;cortex;;5
Helsingborg_kontroll;5_4.5;Kontroll;levande;205;cortex;;5
Helsingborg_kontroll;5_4.6;Kontroll;levande;231;cortex;;5
Helsingborg_kontroll;5_4.7;Kontroll;levande;129;cortex;;5
Helsingborg_kontroll;5_4.8;Kontroll;levande;163;cortex;;5
Helsingborg_kontroll;5_4.9;Kontroll;levande;292;cortex;;5
Helsingborg_kontroll;5_4.10;Kontroll;levande;126;pith;;5
Helsingborg_kontroll;5_5.1;Kontroll;död;0;vascular tissue;;5
Helsingborg_kontroll;5_5.2;Kontroll;död;0;vascular tissue;;5
Helsingborg_kontroll;5_5.3;Kontroll;levande;160;cortex;;5
Helsingborg_kontroll;5_5.4;Kontroll;levande;180;cortex;;5
Helsingborg_kontroll;5_5.5;Kontroll;levande;54;cortex;;5
Helsingborg_kontroll;5_5.6;Kontroll;levande;13;cortex;;5
Helsingborg_kontroll;5_5.7;Kontroll;död;0;vascular tissue;;5
Helsingborg_kontroll;5_5.8;Kontroll;levande;61;cortex;;5
Helsingborg_kontroll;5_5.9;Kontroll;levande;7;cortex;;5
Helsingborg_kontroll;5_5.10;Kontroll;död;0;vascular tissue;;5
Motala_kontroll;1_1.1;Kontroll;levande;42;cortex;;1
Motala_kontroll;1_1.2;Kontroll;levande;174;cortex;;1
Motala_kontroll;1_1.4;Kontroll;levande;193;cortex;låg exposure;1
Motala_kontroll;1_1.5;Kontroll;levande;131;cortex;;1
Motala_kontroll;1_1.6;Kontroll;levande;204;cortex;;1
Motala_kontroll;1_1.7;Kontroll;levande;25;cortex;;1
Motala_kontroll;1_1.8;Kontroll;levande;61;cortex;;1
Motala_kontroll;1_1.9;Kontroll;levande;167;cortex;;1
Motala_kontroll;1_1.10;Kontroll;levande;200;pith;;1
Motala_kontroll;1_1.11;Kontroll;levande;173;pith;;1
Motala_kontroll;1_2.1;Kontroll;levande;124;cortex;;1
Motala_kontroll;1_2.2;Kontroll;levande;59;cortex;;1
Motala_kontroll;1_2.3;Kontroll;levande;97;cortex;;1
Motala_kontroll;1_2.4;Kontroll;levande;149;cortex;;1
Motala_kontroll;1_2.5;Kontroll;levande;110;cortex;;1
Motala_kontroll;1_2.6;Kontroll;levande;98;cortex;;1
Motala_kontroll;1_2.7;Kontroll;levande;89;cortex;;1
Motala_kontroll;1_2.8;Kontroll;levande;191;pith;;1
Motala_kontroll;1_2.9;Kontroll;levande;191;pith;;1
Motala_kontroll;1_2.10;Kontroll;levande;180;cortex;;1
Motala_kontroll;1_3.1;Kontroll;levande;98;cortex;;1
Motala_kontroll;1_3.2;Kontroll;levande;115;cortex;;1
Motala_kontroll;1_3.3;Kontroll;levande;96;cortex;;1
Motala_kontroll;1_3.4;Kontroll;levande;71;cortex;;1
Motala_kontroll;1_3.5;Kontroll;levande;134;cortex;;1
Motala_kontroll;1_3.6;Kontroll;levande;134;cortex;;1
Motala_kontroll;1_3.7;Kontroll;levande;77;cortex;;1
Motala_kontroll;1_3.8;Kontroll;levande;131;pith;;1
Motala_kontroll;1_3.9;Kontroll;levande;127;pith;;1
Motala_kontroll;1_3.10;Kontroll;levande;52;pith;;1
Motala_kontroll;1_4.1;Kontroll;levande;83;cortex;;1
Motala_kontroll;1_4.2;Kontroll;levande;158;cortex;;1
Motala_kontroll;1_4.3;Kontroll;levande;177;cortex;;1
Motala_kontroll;1_4.4;Kontroll;levande;130;cortex;;1
Motala_kontroll;1_4.5;Kontroll;levande;60;cortex;;1
Motala_kontroll;1_4.6;Kontroll;levande;101;cortex;;1
Motala_kontroll;1_4.7;Kontroll;levande;164;cortex;;1
Motala_kontroll;1_4.8;Kontroll;levande;164;cortex;;1
Motala_kontroll;1_4.9;Kontroll;levande;174;pith;;1
Motala_kontroll;1_4.10;Kontroll;levande;92;pith;;1
Motala_kontroll;1_5.1;Kontroll;levande;43;cortex;;1
Motala_kontroll;1_5.2;Kontroll;levande;23;cortex;;1
Motala_kontroll;1_5.3;Kontroll;levande;101;cortex;;1
Motala_kontroll;1_5.4;Kontroll;levande;92;cortex;;1
Motala_kontroll;1_5.5;Kontroll;levande;57;cortex;;1
Motala_kontroll;1_5.6;Kontroll;levande;55;cortex;;1
Motala_kontroll;1_5.7;Kontroll;levande;18;cortex;;1
Motala_kontroll;1_5.8;Kontroll;levande;53;cortex;;1
Motala_kontroll;1_5.9;Kontroll;levande;35;pith;;1
Motala_kontroll;1_5.10;Kontroll;levande;33;pith;;1
Motala_kontroll;2_1.1;Kontroll;levande;29;cortex;;2
Motala_kontroll;2_1.2;Kontroll;levande;7;cortex;;2
Motala_kontroll;2_1.3;Kontroll;levande;71;pith;;2
Motala_kontroll;2_1.4;Kontroll;levande;75;pith;;2
Motala_kontroll;2_1.5;Kontroll;levande;22;cortex;;2
Motala_kontroll;2_1.6;Kontroll;levande;22;cortex;;2
Motala_kontroll;2_1.7;Kontroll;levande;8;cortex;;2
Motala_kontroll;2_1.8;Kontroll;levande;30;cortex;;2
Motala_kontroll;2_1.9;Kontroll;levande;57;cortex;;2
Motala_kontroll;2_1.10;Kontroll;levande;191;pith;;2
Motala_kontroll;2_2.1;Kontroll;levande;52;cortex;;2
Motala_kontroll;2_2.2;Kontroll;levande;22;cortex;;2
Motala_kontroll;2_2.3;Kontroll;levande;40;cortex;;2
Motala_kontroll;2_2.4;Kontroll;levande;46;cortex;;2
Motala_kontroll;2_2.5;Kontroll;levande;18;cortex;;2
Motala_kontroll;2_2.6;Kontroll;levande;108;pith;;2
Motala_kontroll;2_2.7;Kontroll;levande;167;pith, cortex;;2
Motala_kontroll;2_2.8;Kontroll;levande;56;cortex;;2
Motala_kontroll;2_2.9;Kontroll;levande;65;cortex;;2
Motala_kontroll;2_2.10;Kontroll;levande;138;cortex;;2
Motala_kontroll;2_3.1;Kontroll;levande;114;cortex;;2
Motala_kontroll;2_3.2;Kontroll;levande;39;cortex;;2
Motala_kontroll;2_3.3;Kontroll;levande;70;cortex;;2
Motala_kontroll;2_3.4;Kontroll;levande;143;cortex;;2
Motala_kontroll;2_3.5;Kontroll;levande;124;cortex;;2
Motala_kontroll;2_3.6;Kontroll;levande;263;pith;;2
Motala_kontroll;2_3.7;Kontroll;levande;151;cortex;;2
Motala_kontroll;2_3.8;Kontroll;levande;131;cortex;;2
Motala_kontroll;2_3.9;Kontroll;levande;115;cortex;;2
Motala_kontroll;2_3.10;Kontroll;levande;160;cortex;;2
Motala_kontroll;2_4.1;Kontroll;levande;96;cortex;;2
Motala_kontroll;2_4.2;Kontroll;levande;124;pith, cortex;;2
Motala_kontroll;2_4.3;Kontroll;levande;15;cortex;;2
Motala_kontroll;2_4.4;Kontroll;levande;98;cortex;;2
Motala_kontroll;2_4.5;Kontroll;levande;49;cortex;;2
Motala_kontroll;2_4.6;Kontroll;levande;161;pith;;2
Motala_kontroll;2_4.7;Kontroll;levande;114;cortex;;2
Motala_kontroll;2_4.8;Kontroll;levande;88;cortex;;2
Motala_kontroll;2_4.9;Kontroll;levande;80;cortex;;2
Motala_kontroll;2_4.10;Kontroll;levande;67;cortex;;2
Motala_kontroll;2_5.1;Kontroll;levande;133;cortex;;2
Motala_kontroll;2_5.2;Kontroll;levande;41;cortex;;2
Motala_kontroll;2_5.3;Kontroll;levande;65;cortex;;2
Motala_kontroll;2_5.4;Kontroll;levande;23;cortex;;2
Motala_kontroll;2_5.5;Kontroll;levande;90;cortex;;2
Motala_kontroll;2_5.6;Kontroll;levande;47;pith;;2
Motala_kontroll;2_5.7;Kontroll;levande;86;pith;;2
Motala_kontroll;2_5.8;Kontroll;levande;47;pith;;2
Motala_kontroll;2_5.9;Kontroll;levande;49;cortex;;2
Motala_kontroll;2_5.10;Kontroll;levande;26;cortex;;2
Motala_kontroll;3_1.1;Kontroll;levande;59;cortex;;3
Motala_kontroll;3_1.2;Kontroll;levande;49;cortex;;3
Motala_kontroll;3_1.3;Kontroll;levande;39;cortex;;3
Motala_kontroll;3_1.4;Kontroll;levande;165;cortex;;3
Motala_kontroll;3_1.5;Kontroll;levande;71;cortex;;3
Motala_kontroll;3_1.6;Kontroll;levande;105;cortex;;3
Motala_kontroll;3_1.7;Kontroll;levande;38;cortex;;3
Motala_kontroll;3_1.8;Kontroll;levande;51;cortex;;3
Motala_kontroll;3_1.9;Kontroll;levande;36;cortex;;3
Motala_kontroll;3_1.10;Kontroll;levande;29;cortex;;3
Motala_kontroll;3_1.11;Kontroll;levande;62;pith;;3
Motala_kontroll;3_1.12;Kontroll;levande;139;pith;;3
Motala_kontroll;3_2.1;Kontroll;levande;16;cortex;;3
Motala_kontroll;3_2.2;Kontroll;levande;72;cortex;;3
Motala_kontroll;3_2.3;Kontroll;levande;116;cortex;;3
Motala_kontroll;3_2.4;Kontroll;levande;20;cortex;;3
Motala_kontroll;3_2.5;Kontroll;levande;63;cortex;;3
Motala_kontroll;3_2.6;Kontroll;levande;59;cortex;;3
Motala_kontroll;3_2.7;Kontroll;levande;11;pith;;3
Motala_kontroll;3_2.8;Kontroll;levande;14;cortex;;3
Motala_kontroll;3_2.9;Kontroll;död;0;vascular tissue;;3
Motala_kontroll;3_2.10;Kontroll;död;0;vascular tissue;;3
Motala_kontroll;3_3.1;Kontroll;levande;113;cortex;;3
Motala_kontroll;3_3.2;Kontroll;levande;32;cortex;;3
Motala_kontroll;3_3.3;Kontroll;levande;48;cortex;;3
Motala_kontroll;3_3.4;Kontroll;levande;74;cortex;;3
Motala_kontroll;3_3.5;Kontroll;levande;160;cortex;;3
Motala_kontroll;3_3.6;Kontroll;levande;169;cortex;;3
Motala_kontroll;3_3.7;Kontroll;levande;168;cortex;;3
Motala_kontroll;3_3.8;Kontroll;levande;102;cortex;;3
Motala_kontroll;3_3.9;Kontroll;levande;200;pith;;3
Motala_kontroll;3_3.10;Kontroll;levande;165;pith;;3
Motala_kontroll;3_4.1;Kontroll;levande;117;cortex;;3
